bug_id,long_description,severity_category
CORE-508247,"Created attachment 392477
testcase

See testcase which crashes current trunk build.

This regressed between 2009-07-22 and 2009-07-24:
http://hg.mozilla.org/mozilla-central/pushloghtml?startdate=2009-07-22+04%3A00%3A00&enddate=2009-07-24+06%3A00%3A00
I guess a regression from bug 435356.

http://crash-stats.mozilla.com/report/index/c7aff124-3e64-42fd-902b-318792090804?p=1
0  	xul.dll  	_moz_cairo_matrix_multiply  	 gfx/cairo/cairo/src/cairo-matrix.c:298
1 	xul.dll 	gfxMatrix::Multiply 	gfx/thebes/src/gfxMatrix.cpp:82
2 	xul.dll 	xul.dll@0x9aeb17 	
3 	xul.dll 	nsSVGGraphicElement::GetCTM 	content/svg/content/src/nsSVGGraphicElement.cpp:109
4 	xul.dll 	NS_InvokeByIndex_P 	xpcom/reflect/xptcall/src/md/win32/xptcinvoke.cpp:101
5 	xul.dll 	XPCWrappedNative::CallMethod 	js/src/xpconnect/src/xpcwrappednative.cpp:2710",critical
FIREFOX-304804,"Using GOK->Menu no keyboard for menus can be displayed. The whole menu bar is
not accessible. This is critical bugs for firefox a11y on Unix platform.",critical
BUGZILLA-342053,"Quicksearch.pm defines my $cgi = Bugzilla->cgi outside routines. This makes perl -cwT buglist.cgi to fail because buglist.cgi uses Quicksearch.pm. I saw this problem a few seconds before committing my patch about the removal of versioncache. )

We have to fix this before committing my patch about versioncache.",major
TESTING_GRAVEYARD-412183,"Created attachment 296837
patch

mozilla/js/tests/runtests.sh uses wc to count the number of tests failures fixes and regressions for output to Tinderbox. On mac wc -l returns leading whitespace which causes unintended line breaks on the Tinderbox page.",trivial
SEAMONKEY-322240,"Various pref panel items missing accesskeys that I didn't find a specific Component for:

  Appearance/
    Themes/
      Theme to use-box.
      Get New Themes-link.
    Language and Content Packs/
      Installed language packs:-box.
      Installed content packs:-box.

  Nagivator/
    Display on-combobox.
    Languages/
      Languages in order of preference:-box.
    Helper Applications/
      File types:-box.
      When encountered:-textbox.
      PFS checkbox.
    Smart Browsing/
      Domain guessing checkbox.
      Advanced.../
        Entire dialog.

  Roaming User/
    Server Information dropdown.",minor
INFRASTRUCTURE_&_OPERATIONS-619146,"Jabba set us up a new staging server (bm-graphs-stage01) over in bug 619083.

We need to be able to connect to mysql (3306) on tm-stage01-master01",critical
SEAMONKEY-236010,"valgrind spews a lot of these:
 strchr (mac_replace_strmem.c:113)
 nsINIParser::FindKey(char* char* char* int*) (nsINIParser.cpp:245)
 nsINIParser::GetString(char* char* char* int*) (nsINIParser.cpp:108)
 nsINIParser::GetStringAlloc(char* char* char** int*) (nsINIParser.cpp:122)
Address 0x58EE18A is 0 bytes after a block of size 3238 alloc'd
 malloc (vg_replace_malloc.c:160)
 nsINIParser::nsINIParser(char*) (nsINIParser.cpp:59)
 nsXIContext::LoadResources() (nsXIContext.cpp:137)
 nsXInstaller::ParseConfig() (nsXInstaller.cpp:95)

the file is read into a buffer just big enough for its contents.  There is no
room for NULL termination.",major
ADDONS.MOZILLA.ORG_GRAVEYARD-350096,"User-Agent:       Mozilla/5.0 (X11 U Linux i686 en-US rv:1.8.1b2) Gecko/20060824 BonEcho/2.0b2
Build Identifier: Mozilla/5.0 (X11 U Linux i686 en-US rv:1.8.1b2) Gecko/20060824 BonEcho/2.0b2

An author reported to me he got the following error when uploading his or her extension:
> Error! The MaxAppVer for Mozilla of 1.7.12 in install.rdf is invalid.
> Error! The MaxAppVer for SeaMonkey of 1.0.3 in install.rdf is invalid.

If not done already these versions should be added as well as the latest release builds (Mozilla 1.7.13 and Seamonkey 1.0.4)

Reproducible: Didn't try",minor
WEBSITES-444826,"reported to webmaster@mozilla.com.   we should get this cleaned off and figure out captcha or bot protection mechanism.   maybe something along the lines that morgamic is thinking about for addons.mozilla.org


You have a spam profile on your forum at
https://labs.mozilla.com/forum/index.php?action=profileu=4105

We are receiving form spam (see below) linking to this page.


-----Original Message-----
From: Website [mailto:safetyp1@box230.bluehost.com] 
Sent: Thursday July 10 2008 6:29 PM
To: info@safetypartnersinc.com
Subject: Information Request


The following information request has been submitted from the website.

	From:	  Mr. Devidr Devidr
		  	Hello
		  	Home

	Address:  devid574@gmail.com
		  	devid574@gmail.com
		  	mexico NY	 856414

	Phone:	  13 255 645 135
	Fax:	  13 255 645 135
	E-mail:	  devid574@gmail.com

	INQUIRY:

	Hi! Nice place. My sites:
fake coach purses
discount kitchen cabinets
http://fakecoachpurses.blogs.experienceproject.com/49186.html
https://labs.mozilla.com/forum/index.php?action=profileu=4105
[url=http://fakecoachpurses.blogs.experienceproject.com/49186.html]fake
coach purses[/url]
[url=https://labs.mozilla.com/forum/index.php?action=profileu=4105]discount
kitchen cabinets[/url]


	==================== END ====================",major
WWW.MOZILLA.ORG-316393,"User-Agent:       Mozilla/5.0 (X11 U Linux i686 en-US rv:1.9a1) Gecko/20051114 Firefox/1.6a1
Build Identifier: Mozilla/5.0 (X11 U Linux i686 en-US rv:1.9a1) Gecko/20051114 Firefox/1.6a1

Change a the line German to German

Reproducible: Always",trivial
SKYWRITER_GRAVEYARD-511289,"Dion and I were collaborating on a document when it appears Kevin's daemon auto-restarted the deadlocked mobwrite.

i immediately lost the contents of the files I was collaborating on with dion. i had saved frequently so i could retrieve the contents by turning collaboration off and then reloading the file and then copying this to the clipboard turning collaboration on (which caused the contents to disappear) and then pasting it in.

this should be fixed such that restarting mobwrite causes no loss of data for the user.",blocker
CORE-187503,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.3b) Gecko/20030102
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.3b) Gecko/20030102

When scrolling into not visible content on an element that has overflow:auto
shows the content with a black blackground color.
This bug might be the same as closed bug 172227 but that one has been fixed so
I was suggested to open a new one.



Reproducible: Always

Steps to Reproduce:",major
FIREFOX-921942,"With Firefox set to restore the current windows and tabs:
- Open any web page A and scroll down the page a bit
- Open another web page B in another tab also scroll down a bit
- Make sure tab B is the current/active one then restart Firefox
- Notice that the scroll position on tab B has been restored correctly whereas the scroll position on tab A (background tab) isn't restored

This is with Firefox 25 beta 3. The same issue happens with a brand new profile.",minor
MOZILLA.ORG_GRAVEYARD-75991,"The script called mozilla/webtools/miscstats/genstats.cgi assumes that bonsai
and bugzilla are on the same server.  Now that bugzilla is moving to a new
server this script has to be updated to take that into account.

The quick and dirty solution is to run this script on both servers with each
script generating only the statistics for its own server.

The one correct solution(TM) is to give each server access to the other's mysql
installation but this requires thinking through the security issues involved.

Since Bugzilla is moving to the new server today I'm going to implement the
quick and dirty solution for the moment.",critical
TECH_EVANGELISM_GRAVEYARD-110818,"This is a very popular site (linked to by About.com) where many people learn
DHTML and Javascript.

Unfortunately much of the code listed is for layers etc. and doesn't work well
with gecko based browsers.  The content needs to be updated to work with DOM.

The longer this site continues to have it's bad content the more sites out
there will use the bad content.",critical
CORE_GRAVEYARD-124178,"a new window opens and a few secons later mozilla hangs.
Doesn't hang in mozilla0.9.7
using 2002020603 on win-xp",major
FIREFOX-399065,"User-Agent:       Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.8.1.7) Gecko/20070914 Firefox/2.0.0.7
Build Identifier: Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.8.1.7) Gecko/20070914 Firefox/2.0.0.7

A child window is opened using Javascript window.open(). When this window is closed using either the OS'es red X button or call to Javascript self.close().  This is not universally true -- some factor in the test code (in the example URL) is doubtless responsible.  (I will be spending some time isolating this factor -- it's killing my app and I want it to stop!)

BTW: I've tested this with Windows and it does not cause crash.

Reproducible: Always

Steps to Reproduce:
1. Go to http://www.pemburn.com/poptest/index.html
2. Click the Edit button
3. When window pops up close it with Cancel button
Actual Results:  
Firefox crashes

Expected Results:  
Window should close",critical
CORE-121489,"286 /**
287 * Parent will be null when this is at the top of the volume.
288 */
289 readonly attribute nsIFile parent

Looking at nsLocalFileUnix and nsLocalFileWin that's not true in those impls.
In particular the parent of / on unix is /.  Not sure what the parent is on
Win exactly.  Could we fix the comment or the impls please?  I just got into
an infinite loop because of this (was walking up the dir tree and assumed that
I would hit null when I hit the top).",major
CORE-361273,"In low memory conditions it's possible to get the following assertion failure reported (stack trace will follow shortly):

Assertion failure: cg->stackDepth >= 0 at jsemit.c:164

The root cause is this error handling in jsemit:

#define EMIT_ATOM_INDEX_OP(op atomIndex)                                     \
    JS_BEGIN_MACRO                                                            \
        if (!EmitAtomIndexOp(cx op atomIndex cg) < 0)                      \
            return JS_FALSE                                                  \
    JS_END_MACRO

EmitAtomIndexOp returns a JSBool so any error returned will actually be ignored by mistake leading to the assert fail later.

In a release build we get stack underflow reported when the compiled script is run and JS_ArenaAllocate can get itself into an infinite loop that only exits when malloc fails (more details on this soon).",major
THUNDERBIRD-431217,From SM Bug 104973 – Send button should be disabled until we have a recipient,minor
CALENDAR-461337,Sunbird (but not Lightning) tinderboxen are aflame on Linux & Windows see http://tinderbox.mozilla.org/showbuilds.cgi?tree=Sunbird&hours=24,critical
CORE-384037,"Created attachment 267985
testcase (crashes Firefox when loaded)",critical
CORE-156764,"Sometimes when moving the mouse to a bookmark in the personal toolbar a
tooltip appears but doesn't disappear (maybe I'm too fast?). When I accidentally
click onto this tooltip it disappears but the whole UI hangs (can't click onto
any buttons or menu). Only the local window hangs the only option remaining is
to close it and open a new one.",major
BUGZILLA-343566,"This seems to be a relative of bug 329295 but addint . or ./ to PATH does not help.

On some systems $file (in t/004) has a leading ./ that causes trouble.  Filtering that out seems to help the situation.",major
MOZILLA_LOCALIZATIONS-431511,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.1 de-AT rv:1.8.1.13) Gecko/20080313 SeaMonkey/1.1.9
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 de-AT rv:1.8.1.13) Gecko/20080313 SeaMonkey/1.1.9

German version: Access key check:
Menu Extras: hot key P is assigned twice for Passwort-Manager as well as for PopUp-Manager

Reproducible: Always

Steps to Reproduce:
1. Go to Extras
2. P underlines for Password-Manager and for PopUp-Manager too
Actual Results:  
Letter P in PopUp-Manager underlined

Expected Results:  
In older releases of Mozilla letter o was underlined",trivial
MOZILLA_LABS_GRAVEYARD-580422,"I haven't been able to reproduce this on command and it seems to happen randomly.  Here's what happens:

I click 'more info' on the Firefox 4 Beta interface study I have running then click 'click here' to bring up my raw data log.  Everything is logging fine and I'll do some more UI interactions (click back etc) to test the study.  Everything seems to be logging fine but after a few minutes I'll click 'Click here' again to refresh the log and the log will be totally blank - no study meta data no events no anything.  I'll do some more UI interactions click 'Click here' again and the new UI interactions I have done are logged correctly but none of the old data is there so my log is only a few lines - its just like the log reset..

Tested against Mozilla/5.0 (Windows U Windows NT 6.1 WOW64 en-US rv:2.0b1) Gecko/20100630 Firefox/4.0b1",critical
FIREFOX-356789,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.0 fr rv:1.8.1) Gecko/20061003 Firefox/2.0
Build Identifier: Mozilla/5.0 (MAC) Gecko/20061003 Firefox/2.0 RC2

TinyMCE WYSIWYG editor not does not render the content to be edited on initial

Reproducible: Always

Steps to Reproduce:
1.Go to the web page with Firefox RC 2.0 on Mac OS X 10.4.8
2.see the beautiful not editable textarea
3.

Actual Results:  
The editor does not load and not allow you to edit the content in the WYSIWYG
interface.

Expected Results:  
The editor should load and allow you to edit the content in the WYSIWYG
interface.",major
INFRASTRUCTURE_&_OPERATIONS_GRAVEYARD-450659,Drupal security advisory SA-2008-047 (Drupal core - Multiple vulnerabilities) was released yesterday. Need to get QMO patched ASAP.,critical
CORE-300936,"User-Agent:       Mozilla/5.0 (X11 U Linux i686 en-US rv:1.7.8) Gecko/20050712 Firefox/1.0.4
Build Identifier: Mozilla/5.0 (X11 U Linux i686 en-US rv:1.7.8) Gecko/20050712 Firefox/1.0.4

mozilla/modules/libpr0n/decoders/xbm/nsXBMDecoder.cpp:

***

nsresult nsXBMDecoder::ProcessData(const char* aData PRUint32 aCount)
{
[...]
        // Check for X11 flavor
        if (strstr(mPos  char ))
            mIsX10 = PR_FALSE
        // Check for X10 flavor
        else if (strstr(mPos  short ))
            mIsX10 = PR_TRUE
        else
            // Neither identifier found.  Return for now waiting for more data.
            return NS_OK 
[...]
    if (mState == RECV_DATA)
    {
        PRUint32 bpr
        mFrame->GetImageBytesPerRow(
        PRUint32 abpr
        mFrame->GetAlphaBytesPerRow(
        PRBool hiByte = PR_TRUE

        do
        {
            PRUint32 pixel = strtoul(mPos 
[...]
[1]         while (*endPtr && isspace(*endPtr))
                endPtr++       // skip whitespace looking for comma
            if (*endPtr && (*endPtr != ''))
            {
[5]             *endPtr = '\0'
                mState = RECV_DONE  // strange character (or ending '}')
            }
                (...)
            if (!mIsX10 || !hiByte)
[2]             mPos = endPtr // go to next value only when done with this one
        [...]
[3]         mPos++
[4]     } while (*mPos 

***

The ProcessData function of the nsXBMDecoder class parse the data of an XBM's
format image.
The bug happens during the re-processing of this image format within the
libpr0n a module activated by default :

At [1] endPtr is incremented until the null terminating character if it's
fill by ' ' space.
At [2] mPos is set to endPtr if mIsX10 and hiByte are null. There are option
taken from the XBM format's image.
At [3] mPos is incremented without checking if *mPos is null.
Thus the boucle at [4] can not stop depending on the state of the heap.

I found it is possible to craft such an XBM image to put the heap layout in
a predictable state and exploit the bug reliably.

An attacker could execute arbitrary code on mozilla firefox if a web page is
viewed or even within an e-mail with a IFRAME tag.


Reproducible: Always

Steps to Reproduce:
#0  nsXBMDecoder::ProcessData (this=0x870b2e0 
    aData=0x81c3e44 #define gopher_binary_width 20\n#define
gopher_binary_height 23\nstatic char gopher_binary_bits[] = {\n   0x00 0x00
0x00 0x00
 0x00 0x00 0x00 0
x00 0x00 0x00 0x00 0x00\n   0xff 0x3f 0x00 0x01... aCount=254) at
nsXBMDecoder.cpp:142
#1  0x41fc11d9 in nsXBMDecoder::ReadSegCb (aIn=0x8680e2c aClosure=0x870b2e0 
    aFromRawSegment=0x81c3e44 #define gopher_binary_width 20\n#define
gopher_binary_height 23\nstatic char gopher_binary_bits[] = {\n   0x00 0x00 
0x00 0x00 0x00 0x0
0 0x00 0x00 0x00 0x00 0x00 0x00\n   0xff 0x3f 0x00 0x01...
aToOffset=0 aCount=254 aWriteCount=0xbfffe844) at nsXBMDecoder.cpp:129
#2  0x401942a2 in nsPipeInputStream::ReadSegments (this=0x8680e2c 
    writer=0x41fc11a0 <nsXBMDecoder::ReadSegCb(nsIInputStream* void* char
const* unsigned int unsigned int unsigned int*)> closure=0x870b2e0 c
ount=254 
    readCount=0xbfffe8c8) at nsPipe3.cpp:761
#3  0x41fc1223 in nsXBMDecoder::WriteFrom (this=0x870b2e0 aInStr=0x8680e2c
aCount=254 aRetval=0xbfffe8c8) at nsXBMDecoder.cpp:134
#4  0x41fadc8f in imgRequest::OnDataAvailable (this=0x87e60d8
aRequest=0x8798458 ctxt=0x0 inStr=0x8680e2c sourceOffset=0 count=254) at
imgReques
t.cpp:796
#5  0x41fa5f50 in ProxyListener::OnDataAvailable (this=0x8285b98
aRequest=0x8798458 ctxt=0x0 inStr=0x8680e2c sourceOffset=0 count=254) at imgLoa
der.cpp:862
#6  0x41ca0b8b in nsMediaDocumentStreamListener::OnDataAvailable
(this=0x871a678 request=0x8798458 ctxt=0x0 inStr=0x8680e2c sourceOffset=0 count
=254)
    at nsMediaDocument.cpp:114
#7  0x415e7688 in nsDocumentOpenInfo::OnDataAvailable (this=0x873e740
request=0x8798458 aCtxt=0x0 inStr=0x8680e2c sourceOffset=0 count=254) at n
sURILoader.cpp:344
#8  0x40bb6933 in nsFileChannel::OnDataAvailable (this=0x8798458 req=0x8748a20
ctx=0x0 stream=0x8680e2c offset=0 count=254) at nsFileChannel.cpp
:594
#9  0x40b2d258 in nsInputStreamPump::OnStateTransfer (this=0x8748a20) at
nsInputStreamPump.cpp:433
#10 0x40b2ce88 in nsInputStreamPump::OnInputStreamReady (this=0x8748a20
stream=0x8680e2c) at nsInputStreamPump.cpp:336
#11 0x401983f7 in nsInputStreamReadyEvent::EventHandler (plevent=0x86cadf4) at
nsStreamUtils.cpp:118
#12 0x401bbf9b in PL_HandleEvent (self=0x86cadf4) at plevent.c:673
#13 0x401bbe50 in PL_ProcessPendingEvents (self=0x80d0fd0) at plevent.c:608
#14 0x401bf14a in nsEventQueueImpl::ProcessPendingEvents (this=0x80d0ad8) at
nsEventQueue.cpp:398
#15 0x409591d0 in event_processor_callback (data=0x80d0ad8 source=4
condition=GDK_INPUT_READ) at nsAppShell.cpp:186
#16 0x40958b7d in our_gdk_io_invoke (source=0x8211540 condition=G_IO_IN
data=0x8210f50) at nsAppShell.cpp:71
#17 0x404284c6 in g_io_add_watch () from /usr/lib/libglib-1.2.so.0
#18 0x40429dd8 in g_get_current_time () from /usr/lib/libglib-1.2.so.0
#19 0x4042a2c1 in g_get_current_time () from /usr/lib/libglib-1.2.so.0
#20 0x4042a5e5 in g_main_run () from /usr/lib/libglib-1.2.so.0
#21 0x4033525f in gtk_main () from /usr/lib/libgtk-1.2.so.0
#22 0x4095961a in nsAppShell::Run (this=0x80d6c48) at nsAppShell.cpp:317
#23 0x408cf8ea in nsAppShellService::Run (this=0x80d56e0) at
nsAppShellService.cpp:494
#24 0x0805e5cd in xre_main (argc=1 argv=0xbffff484 aAppData=0x807500c) at
nsAppRunner.cpp:1907
#25 0x0805851c in main (argc=1 argv=0xbffff484) at nsBrowserApp.cpp:58

------------------

#define gopher_binary_width 20
#define gopher_binary_height 23
static char gopher_binary_bits[] = {
   0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
   0xff 0x3f 0x00 0x01 0x60 0x00 0x01 0xa0 0x00 0x71 0x26 0x01      EOF

As you can see the image end with a space character when the program assume
the image to be clean and contain end tag.
Thus if one is able to control the heap layout it is possible to execute
arbitrary code.

Here is some details on how to exploit the bug on Linux :

- Use a javascript and allocate a lot of 'local' buffer. I found JC_GC is called
at the end of the javascript parsing before any image are loaded and will free
all 'useless' (because local) buffer.
Thus it is easy to 1) Allocate in some global array a lot of *little bufer* to
begin so we have the heap layout in a predictable state (no hole).
2) Allocate a few big buffer with isdigit()-valid character. Because there is no
more heap hole the 'top chunk' of the heap is expended.
3) When JC_GC return some memory have been freed and thus following
allocation will fall in these new heap hole.
4) When the image is processed the overflowed buffer will be followed by
isdigit-character (this is junk in the prev_size field of the next struct
malloc_chunk). Then a '\0' will be written on the LSB of the 'next size' field
of the next struct malloc_chunk on the heap.
Because it is easily possible to inject controlled character on the heap
(actually that could have been done in the few isdigit()-valid buffer) it is
possible to store fake information on the heap and tricks malloc()/free()/etc
to parse them.
Still in the scheme of Doug Lea malloc (linux) this will end by triggering the
macro UNLINK() which basically insert a heap chunk in a linked list thus
writing a controlled pointer of us to a controlled address of us.
One can simply overwrite any function pointer like GOT entry saved %eip
pointer on the stack and hijack it to point to some injected shellcode.

Exploitation is possible on *BSD / Windows aswell.
Actual Results:  
Ability to execute whatever code you want.

Expected Results:  
Stop me.",critical
RELEASE_ENGINEERING-460843,"http://tinderbox.mozilla.org/showbuilds.cgi?tree=TraceMonkey

It is stuck removing a file and called WINNT 5.2 mozilla-central moz2-win32-slave14 dep unit test but I think that is a misnomer.",major
INFRASTRUCTURE_&_OPERATIONS_GRAVEYARD-799473,You should end up with rev 1.228 of config-dist.php.,blocker
CORE-194330,"User-Agent:       Mozilla/5.0 (Windows U Win95 en-US rv:1.2.1) Gecko/20021130
Build Identifier: Mozilla/5.0 (Windows U Win95 en-US rv:1.2.1) Gecko/20021130

The above url causes mozilla to freeze and need an alt-ctl-del and end task to
get back from it when you try to print or print preview it (freezes on preparing).

Reproducible: Always

Steps to Reproduce:
1. Open Browser
2. Go to http://ato.gov.au/content/notforprofit/29723.htm
3. Try to Print or Print Preview
Actual Results:  
mozilla freezes

Expected Results:  
Printed or Previewed the print job

I've also seen this in 1.2.1 running on Win98",critical
SEAMONKEY-208903,"The patch for bug 175881 introudced this problem. (attachment 124826).
The patch has the following line 

-    gStatusBar.label = getSelectedItem().id
+    gStatusBar.label = getFileForItem(getSelectedItem()).path

The noticable change introduced by this is that the status bar shows 'garbage'
characters for non-ASCII file names. Going back to 
|getSelectedItem().id| (chopping off 'file://' at the beginning if necessary)
will solve this 'UI' regression. However that's not touching the root cause of
the problem because none of command buttons is functional (all of them is dimmed
out) when a non-ASCII file is  selected  with or without the change. The file
operation in other parts of Mozilla work fine so that nsIFile and nsILocalFile
are not to blame. [1]

getFileForItem() is defined in 
http://lxr.mozilla.org/seamonkey/source/xpfe/components/download-manager/resources/downloadmanager.js#357
as
357 function getFileForItem(aElement)
358 {
359   var itemResource = gRDFService.GetUnicodeResource(aElement.id)
360   var fileResource = gDownloadView.database.GetTarget(itemResource
gNC_File true)
361   fileResource =
fileResource.QueryInterface(Components.interfaces.nsIRDFResource)
362   return createLocalFile(fileResource.Value)
363 }
364 
365 function createLocalFile(aFilePath) 
366 {


I added a couple of 'dump()' statements in createLocalFile(aFilePath) and
printed out |aFilePath).  aFilePath is zero-extended UTF-8. For instance 
U+00A0 (in UTF-8 it's 0xC2 0x80) aFilePath should have 'U+00A0'. Instead it
has 'U+00C2 U+0080'. This symptom suggests that somewhere in RDF-related code
ACString is used where AUTF8String should have been used. 

[1] Recently I've been working on enabling 'Unicode' file I/O in Windows (bug
162361) and with that enabled Mozilla-Windows has the same problem as Linux
under UTF-8 locale. Therefore I think this is an XP issue althouhg I'm filing
this under Linux for now.",major
BUGZILLA-110276,"If you click on Show dependency graph for any bug check Show the summary of
all bugs on the new page and click Submit again you get:

Software error:
select bug_status short_desc from bugs LEFT JOIN cc selectVisible_cc ON
bugs.bug_id = selectVisible_cc.bug_id AND selectVisible_cc.who = 29933 WHERE
((bugs.groupset & 0) = bugs.groupset OR (bugs.reporter_accessible = 1 AND
bugs.reporter = 29933) OR (bugs.assignee_accessible = 1 AND bugs.assigned_to =
29933) OR (bugs.qacontact_accessible = 1 AND bugs.qa_contact = 29933) OR
(bugs.cclist_accessible = 1 AND selectVisible_cc.who = 29933 AND not
isnull(selectVisible_cc.who))) AND bug_id = 102293: Column: 'bug_id' in where
clause is ambiguous at globals.pl line 222.",blocker
MOZILLA.ORG_GRAVEYARD-308927,"User-Agent:       Mozilla/5.0 (X11 U Linux i686 en-US rv:1.7.10) Gecko/20050911 Firefox/1.0.6 (Debian package 1.0.6-5)
Build Identifier: Mozilla/5.0 (X11 U Linux i686 en-US rv:1.7.10) Gecko/20050911 Firefox/1.0.6 (Debian package 1.0.6-5)

From the holidays calendar instruction:
=====
We've got some calendar holiday files available for download. To add these to
your calendar install the Calendar and click on the links below. You will be
prompted to subscribe to them. That way you don't have to continually download them.
=====

Clicking on the links doesn't work nor in Calendar/Firefox-1.0.6 neither in
Calendar/Mozilla-1.7.11 (both as Debian packages) because the link are in the
http:// form not in the webcal:// form. If I manually open the link as
webcal://[link] I can subscribe.

Reproducible: Always

Steps to Reproduce:
1. Install the calendar extension
2. Open http://www.mozilla.org/projects/calendar/caldata/EnglishHolidays.ics

Actual Results:  
The calendar is open as a plain text page in the browser.

Expected Results:  
The calendar extension should ask to subscribe to the calendar.

I tested only on GNU/Linux but I'm 100% sure that the problem is present in all
platforms/OSes.",minor
